sample	FIPS
USA/VA-CDC-QDX48415158/2023|OQ825173.1|2023-03-27	51031
USA/VA-VTVAS3-GSC41876/2023|OQ442559.1|2023-01-25	51660
USA/VA-CAV_VAS3N_00018202_01/2023|OQ612994.1|2023-02-02	51800
USA/VA-VTVAS3-GSC38286/2022|OP390324.1|2022-08-02	51001
USA/VA-CDC-LC1021215/2023|OQ614813.1|2023-02-27	51163
USA/VA-CDC-LC0993652/2023|OQ353814.1|2023-01-18	51091
USA/VA-CAV_VAS3N_00015173_01/2022|OP601181.1|2022-08-24	51036
USA/VA-VTVAS3-GSC42764/2023|OQ890859.1|2023-04-08	51173
USA/VA-CDC-LC1000840/2023|OQ404003.1|2023-01-26	51071
USA/VA-CAV_VAS3N_00018612_01/2023|OQ953865.1|2023-04-05	51119
USA/VA-CAV_VAS3N_00018610_01/2023|OQ953857.1|2023-04-12	51670
USA/VA-CDC-LC1007003/2023|OQ443917.1|2023-02-04	51167
USA/VA-VTVAS3-GSC42821/2023|OR067986.1|2023-05-02	51137
USA/VA-VTVAS3-GSC40661/2022|OQ331347.1|2022-11-26	51181
USA/VA-CAV_VAS3N_00018618_01/2023|OQ953871.1|2023-04-05	51550
USA/VA-CDC-QDX47492484/2023|OQ655010.1|2023-03-04	51197
USA/VA-VTVAS3-GSC42447/2023|OQ714581.1|2023-02-26	51570
USA/VA-CAV_VAS3N_00017879_01/2023|OQ384459.1|2023-01-19	51017
USA/VA-CDC-QDX48853661/2023|OQ861942.1|2023-04-07	51580
USA/VA-VTVAS3-GSC42801/2023|OR067967.1|2023-04-19	51027
USA/VA-CAV_VAS3N_00018625_01/2023|OQ953847.1|2023-04-10	51073
USA/VA-CAV_VAS3N_00018614_01/2023|OQ953867.1|2023-04-06	51036
USA/VA-CDC-VSX-A065819/2023|OQ871197.1|2023-04-11	51085
USA/VA-CDC-LC0981381/2023|OQ264520.1|2023-01-04	51035
USA/VA-CAV_VAS3N_00018320_01/2023|OQ843707.1|2023-02-07	51037
USA/VA-CDC-LC0072474/2021|OK235071.1|2021-06-08	51155
USA/VA-CAV_VAS3N_00017952_01/2023|OQ384604.1|2023-01-19	51145
USA/VA-CDC-LC1008925/2023|OQ457999.1|2023-02-08	51127
USA/VA-CDC-LC0976916/2022|OQ206191.1|2022-12-29	51161
USA/VA-CDC-LC0769549/2022|OP027758.1|2022-07-11	51650
USA/VA-CAV_VAS3N_00018428_01/2023|OQ843661.1|2023-02-28	51081
USA/VA-VTVAS3-GSC42678/2023|OQ890913.1|2023-03-05	51029
USA/VA-VTVAS3-GSC42677/2023|OQ890912.1|2023-03-05	51179
USA/VA-DCLS-14906/2023|OQ360739.1|2023-01-06	51678
USA/VA-DCLS-15085/2023|OQ859885.1|2023-03-07	51678
USA/VA-CAV_VAS3N_00018153_01/2023|OQ612759.1|2023-02-05	51161
USA/VA-CDC-LC0927706/2022|OP827649.1|2022-11-01	51161
USA/VA-DCLS-15058/2023|OQ844097.1|2023-02-17	51840
USA/VA-VTVAS3-GSC42504/2023|OQ714662.1|2023-02-26	51740
USA/VA-CDC-QDX48192736/2023|OQ782517.1|2023-03-21	51025
USA/VA-CAV_VAS3N_00018115_01/2023|OQ613022.1|2023-01-24	51610
USA/VA-CDC-QDX45277295/2023|OQ274824.1|2023-01-04	51580
USA/VA-DCLS-14921/2023|OQ360748.1|2023-01-03	51085
USA/VA-CDC-LC0967052/2022|OQ166509.1|2022-12-20	51069
USA/VA-VTVAS3-GSC42254/2023|OQ544799.1|2023-02-05	51015
USA/VA-VTVAS3-GSC32353/2022|ON276382.1|2022-01-14	51179
USA/VA-VTVAS3-GSC42388/2023|OQ714524.1|2023-02-21	51017
USA/VA-VTVAS3-GSC42485/2023|OQ714643.1|2023-02-22	51035
USA/VA-CAV_VAS3N_00012226_01/2022|OP059665.1|2022-06-07	51790
USA/VA-CAV_VAS3N_00017524_01/2022|OQ384239.1|2022-12-30	51115
USA/VA-DCLS-14901/2023|OQ360734.1|2023-01-04	51678
USA/VA-VTVAS3-GSC36991/2022|OP327237.1|2022-07-07	51061
USA/VA-VTVAS3-GSC29573/2022|ON138264.1|2022-01-06	51127
USA/VA-VTVAS3-GSC40978/2022|OQ331773.1|2022-12-18	51800
USA/VA-VTVAS3-GSC30843/2022|ON276475.1|2022-01-03	51775
USA/VA-VTVAS3-GSC42690/2023|OQ890925.1|2023-03-24	51195
USA/VA-VTVAS3-GSC31721/2022|ON366940.1|2022-01-14	51157
USA/VA-CDC-QDX46992334/2023|OQ591397.1|2023-02-19	51121
USA/VA-CAV_VAS3N_00018571_01/2023|OQ843792.1|2023-03-31	51059
USA/VA-CDC-LC1034587/2023|OQ802392.1|2023-03-28	51153
USA/VA-CDC-ASC210343293/2021|OL398987.1|2021-10-07	51840
USA/VA-CDC-QDX48464020/2023|OQ825416.1|2023-03-28	51065
USA/VA-CAV_VAS3N_00018628_01/2023|OQ953850.1|2023-04-13	51137
USA/VA-CDC-LC1034286/2023|OQ802603.1|2023-03-31	51143
USA/VA-VTVAS3-GSC42885/2023|OR083108.1|2023-05-09	51011
USA/VA-DCLS-15104/2023|OQ844065.1|2023-03-17	51670
USA/VA-CAV_VAS3N_00018574_01/2023|OQ843795.1|2023-04-03	51083
USA/VA-VTVAS3-GSC28536/2021|ON133094.1|2021-12-06	51161
USA/VA-VTVAS3-GSC42198/2023|OQ544914.1|2023-02-04	51089
USA/VA-CDC-LC0905640/2022|OP661895.1|2022-09-29	51171
USA/VA-CDC-LC0586113/2022|ON397571.1|2022-04-20	51137
USA/VA-CDC-LC1003039/2023|OQ415819.1|2023-01-30	51036
USA/VA-CDC-QDX43796402/2022|OP945657.1|2022-11-18	51685
USA/VA-CAV_VAS3N_00015582_01/2022|OP600766.1|2022-09-06	51179
USA/VA-VTVAS3-GSC31694/2022|ON366913.1|2022-01-19	51067
USA/VA-VTVAS3-GSC42638/2023|OQ891048.1|2023-03-11	51061
USA/VA-VTVAS3-GSC42740/2023|OQ890836.1|2023-03-23	51595
USA/VA-VTVAS3-GSC42773/2023|OQ890868.1|2023-04-11	51081
USA/VA-CAV_VAS3N_00016287_01/2022|OP923315.1|2022-09-24	51550
USA/VA-CDC-LC1042335/2023|OR038053.1|2023-05-12	51177
USA/VA-VTVAS3-GSC41358/2022|OQ351023.1|2022-12-31	51015
USA/VA-CDC-LC0968965/2022|OQ167223.1|2022-12-22	51191
USA/VA-VTVAS3-GSC38162/2022|OP405173.1|2022-08-01	51620
USA/VA-CAV_VAS3N_00018032_01/2023|OQ612851.1|2023-01-27	51735
USA/VA-CDC-QDX46678183/2023|OQ515764.1|2023-02-08	51191
USA/VA-CDC-LC1009829/2023|OQ458053.1|2023-02-09	51169
USA/VA-CDC-QDX48316338/2023|OQ783698.1|2023-03-25	51011
USA/VA-CAV_VAS3N_00015937_01/2022|OP600701.1|2022-09-14	51145
USA/VA-CAV_VAS3N_00018192_01/2023|OQ612989.1|2023-02-01	51131
USA/VA-CAV_VAS3N_00014451_01/2022|OP473183.1|2022-08-14	51195
USA/VA-VTVAS3-GSC40756/2022|OQ331294.1|2022-11-29	51067
USA/VA-CDC-LC1003535/2023|OQ432379.1|2023-01-31	51179
USA/VA-CDC-QDX46229276/2023|OQ441288.1|2023-01-27	51595
USA/VA-CAV_VAS3N_00017061_01/2022|OQ151238.1|2022-12-08	51680
USA/VA-VTVAS3-GSC41873/2023|OQ442556.1|2023-01-22	51091
USA/VA-CAV_VAS3N_00012979_01/2022|OP329802.1|2022-06-30	51740
USA/VA-VTVAS3-GSC36236/2022|OP290701.1|2022-06-12	51041
USA/VA-CAV_VAS3N_00016747_01/2022|OQ151371.1|2022-11-03	51103
USA/VA-CDC-LC0668552/2022|ON710543.1|2022-05-25	51177
USA/VA-VTVAS3-GSC42066/2023|OQ544639.1|2023-02-02	51115
USA/VA-CDC-QDX46447508/2023|OQ452624.1|2023-02-04	51169
USA/VA-VTVAS2-GSC41094/2022|OQ331717.1|2022-12-25	51025
USA/VA-CDC-LC0984537/2023|OQ258678.1|2023-01-05	51510
USA/VA-VTVAS3-GSC42706/2023|OQ890940.1|2023-03-26	51011
USA/VA-VTVAS3-GSC42868/2023|OR068033.1|2023-05-01	51071
USA/VA-VTVAS3-GSC36812/2022|OP327043.1|2022-06-26	51069
USA/VA-CAV_VAS3N_00014637_01/2022|OP473501.1|2022-08-11	51775
USA/VA-CAV_VAS3N_00017245_01/2022|OQ151312.1|2022-12-14	51169
USA/VA-VTVAS3-GSC42594/2023|OQ891005.1|2023-03-15	51133
USA/VA-CAV_VAS3N_00018527_01/2023|OQ843592.1|2023-03-22	51087
USA/VA-VTVAS3-GSC42689/2023|OQ890924.1|2023-03-31	51065
USA/VA-CDC-QDX46135626/2023|OQ425524.1|2023-01-24	51083
USA/VA-CDC-VSX-A073051/2023|OQ433382.1|2023-01-27	51830
USA/VA-DCLS-14946/2023|OQ378982.1|2023-01-10	51149
USA/VA-CDC-QDX30655872/2021|OL623022.1|2021-11-01	51810
USA/VA-CAV_VAS3N_00016623_01/2022|OP923532.1|2022-10-25	51199
USA/VA-CDC-LC0977063/2022|OQ206164.1|2022-12-29	51171
USA/VA-VTVAS3-GSC42742/2023|OQ890838.1|2023-03-24	51119
USA/VA-CDC-QDX48192704/2023|OQ782371.1|2023-03-21	51045
USA/VA-CDC-QDX48791723/2023|OQ861505.1|2023-04-05	51145
USA/VA-VTVAS3-GSC42654/2023|OQ890889.1|2023-03-25	51179
USA/VA-CDC-LC1034197/2023|OQ802635.1|2023-04-01	51149
USA/VA-VTVAS3-GSC42600/2023|OQ891011.1|2023-03-21	51059
USA/VA-CDC-QDX45961605/2023|OQ400576.1|2023-01-23	51660
USA/VA-CAV_VAS3N_00018508_01/2023|OQ843573.1|2023-03-25	51730
USA/VA-VTVAS3-GSC42703/2023|OQ890937.1|2023-03-25	51137
USA/VA-CDC-LC1031818/2023|OQ734369.1|2023-03-25	51053
USA/VA-VTVAS3-GSC42656/2023|OQ890891.1|2023-03-24	51007
USA/VA-CDC-QDX80294904/2023|OR061794.1|2023-05-08	51059
USA/VA-VTVAS3-GSC42716/2023|OQ890950.1|2023-03-25	51770
USA/VA-CDC-QDX48733688/2023|OQ828018.1|2023-04-04	51087
USA/VA-VTVAS3-GSC31740/2022|ON366958.1|2022-01-09	51191
USA/VA-DCLS-14917/2023|OQ360744.1|2023-01-06	51685
USA/VA-CDC-LC0975575/2022|OQ205541.1|2022-12-26	51177
USA/VA-VTVAS3-GSC42543/2023|OQ714700.1|2023-03-09	51033
USA/VA-CAV_VAS3N_00018482_01/2023|OQ843634.1|2023-03-01	51177
USA/VA-CDC-QDX47492498/2023|OQ654499.1|2023-03-02	51093
USA/VA-CDC-LC1032194/2023|OQ734027.1|2023-03-22	51137
USA/VA-VTVAS3-GSC33230/2022|ON276666.1|2022-01-20	51053
USA/VA-CDC-LC0479404/2022|OM411683.1|2022-01-11	51145
USA/VA-VTVAS3-GSC32369/2022|ON276394.1|2022-01-14	51085
USA/VA-CDC-QDX42813220/2022|OP789778.1|2022-10-21	51760
USA/VA-VTVAS3-GSC39532/2022|OP738631.1|2022-10-12	51045
USA/VA-VTVAS3-GSC41922/2023|OQ442605.1|2023-01-21	51057
USA/VA-VTVAS3-GSC42701/2023|OQ890935.1|2023-03-23	51051
USA/VA-CDC-QDX46500381/2023|OQ467563.1|2023-02-05	51169
USA/VA-VTVAS3-GSC41855/2023|OQ442702.1|2023-01-23	51145
USA/VA-CDC-QDX45689891/2023|OQ369526.1|2023-01-15	51197
USA/VA-CAV_VAS3N_00018438_01/2023|OQ843677.1|2023-03-07	51121
USA/VA-CDC-QDX46447767/2023|OQ452800.1|2023-02-05	51155
USA/VA-VTVAS3-GSC42215/2023|OQ544931.1|2023-02-04	51107
USA/VA-VTVAS3-GSC35886/2022|OP290231.1|2022-05-28	51041
USA/VA-CAV_VAS3N_00018031_01/2023|OQ612850.1|2023-01-28	51067
USA/VA-VTVAS3-GSC41202/2022|OQ331830.1|2022-12-09	51015
USA/VA-CDC-QDX41683857/2022|OP619226.1|2022-09-20	51089
USA/VA-CDC-LC0259374/2021|OK281917.1|2021-09-09	51678
USA/VA-CDC-QDX47492277/2023|OQ654166.1|2023-03-01	51115
USA/VA-CDC-QDX47492384/2023|OQ654785.1|2023-03-03	51165
USA/VA-CDC-QDX46447556/2023|OQ452524.1|2023-02-04	51193
USA/VA-VTVAS3-GSC42775/2023|OQ890870.1|2023-04-10	51810
USA/VA-CDC-QDX45592259/2023|OQ347579.1|2023-01-12	51107
USA/VA-CDC-LC0955896/2022|OQ081525.1|2022-12-08	51590
USA/VA-VTVAS3-GSC40954/2022|OQ331749.1|2022-12-13	51015
USA/VA-CAV_VAS3N_00018344_01/2023|OQ843725.1|2023-02-15	51035
USA/VA-CDC-QDX46611475/2023|OQ505442.1|2023-02-07	51177
USA/VA-CDC-LC1009779/2023|OQ458148.1|2023-02-10	51079
USA/VA-CDC-QDX49005202/2023|OQ892874.1|2023-04-11	51127
USA/VA-CDC-QDX46611461/2023|OQ505518.1|2023-02-07	51700
USA/VA-CDC-LC1018808/2023|OQ613441.1|2023-02-13	51083
USA/VA-DCLS-14727/2022|OP964457.1|2022-10-28	51119
USA/VA-VTVAS3-GSC40852/2022|OQ331469.1|2022-12-07	51520
USA/VA-CDC-LC0631322/2022|ON590848.1|2022-05-10	51119
USA/VA-CAV_VAS3N_00018356_01/2023|OQ843737.1|2023-02-21	51099
USA/VA-CDC-LC0403981/2021|OL835950.1|2021-11-23	51181
USA/VA-CAV_VAS3N_00017846_01/2023|OQ384529.1|2023-01-17	51540
USA/VA-CDC-QDX45389791/2023|OQ342026.1|2023-01-05	51683
USA/VA-CDC-QDX46500305/2023|OQ467824.1|2023-02-06	51095
USA/VA-CDC-LC0975687/2022|OQ205960.1|2022-12-27	51101
USA/VA-CDC-LC1000400/2023|OQ404415.1|2023-01-27	51085
USA/VA-CDC-QDX45863103/2023|OQ381920.1|2023-01-17	51001
USA/VA-VTVAS3-GSC42721/2023|OQ890955.1|2023-03-09	51157
USA/VA-DCLS-15157/2023|OR062588.1|2023-05-04	51640
USA/VA-CAV_VAS3N_00018561_01/2023|OQ843834.1|2023-03-23	51027
USA/VA-CAV_VAS3N_00017957_01/2023|OQ384557.1|2023-01-19	51011
USA/VA-CAV_VAS3N_00018460_01/2023|OQ843666.1|2023-03-01	51075
USA/VA-CDC-LC1000924/2023|OQ403675.1|2023-01-24	51775
USA/VA-CDC-LC1006892/2023|OQ444042.1|2023-02-06	51678
USA/VA-CDC-LC0997978/2023|OQ364959.1|2023-01-23	51155
USA/VA-CDC-LC0406621/2021|OL917864.1|2021-11-30	51157
USA/VA-CDC-LC0780476/2022|OP065970.1|2022-07-15	51087
USA/VA-VTVAS3-GSC32379/2022|ON276403.1|2022-01-16	51113
USA/VA-VTVAS3-GSC41857/2023|OQ442704.1|2023-01-23	51085
USA/VA-CDC-LC0977527/2022|OQ206639.1|2022-12-30	51580
USA/VA-VTVAS3-GSC42645/2023|OQ890882.1|2023-03-23	51023
USA/VA-CDC-QDX48043356/2023|OQ713524.1|2023-03-18	51135
USA/VA-VTVAS3-GSC42577/2023|OQ890988.1|2023-03-14	51760
USA/VA-CDC-QDX48043167/2023|OQ713211.1|2023-03-16	51133
USA/VA-CDC-QDX48094642/2023|OQ728280.1|2023-03-19	51059
USA/VA-CDC-LC1030318/2023|OQ712216.1|2023-03-14	51167
USA/VA-CDC-QDX44939233/2022|OQ208480.1|2022-12-23	51005
USA/VA-CDC-QDX48043278/2023|OQ713491.1|2023-03-17	51670
USA/VA-CDC-QDX48043168/2023|OQ713311.1|2023-03-16	51141
USA/VA-CAV_VAS3N_00018526_01/2023|OQ843591.1|2023-03-22	51790
USA/VA-CAV_VAS3N_00017415_01/2022|OQ384016.1|2022-12-21	51199
USA/VA-VTVAS3-GSC42749/2023|OQ890844.1|2023-03-31	51775
USA/VA-CDC-QDX47920361/2023|OQ705727.1|2023-03-14	51149
USA/VA-VTVAS3-GSC42736/2023|OQ890832.1|2023-04-01	51013
USA/VA-VTVAS3-GSC42653/2023|OQ890888.1|2023-03-18	51007
USA/VA-VTVAS3-GSC39832/2022|OP851402.1|2022-10-15	51683
USA/VA-VTVAS3-GSC36381/2022|OP290919.1|2022-06-15	51097
USA/VA-CDC-QDX46677377/2023|OQ516030.1|2023-02-08	51181
USA/VA-CAV_VAS3N_00018397_01/2023|OQ843775.1|2023-02-17	51033
USA/VA-CAV_VAS3N_00017342_01/2022|OQ384649.1|2022-12-20	51193
